;position;squad;minutes;xg_per90;shoots_on_t_x_game;passes_x_game;dribbles_x_game;goals
0;8;4;1037.0;0.08;0.17391304347826086;1.2173913043478262;1.0434782608695652;1.0
1;3;8;2320.0;0.04;0.07407407407407407;3.037037037037037;0.37037037037037035;0.0
2;3;4;2138.0;0.02;0.041666666666666664;1.7083333333333333;0.4583333333333333;0.0
3;3;8;2189.0;0.05;0.24;4.72;0.24;1.0
4;6;4;2438.0;0.11;0.26666666666666666;3.066666666666667;0.5666666666666667;3.0
5;7;4;2315.0;0.21;0.7058823529411765;2.176470588235294;1.5;7.0
6;9;4;1210.0;0.25;0.7058823529411765;1.4705882352941178;0.11764705882352941;3.0
7;9;4;2436.0;0.32;0.7272727272727273;0.7575757575757576;1.0909090909090908;10.0
8;6;4;16.0;0.0;0.0;0.0;0.0;0.0
9;8;4;57.0;0.37;0.0;1.0;0.6666666666666666;0.0
10;3;8;2213.0;0.1;0.15384615384615385;6.076923076923077;0.3076923076923077;1.0
11;3;8;3066.0;0.08;0.17142857142857143;4.457142857142857;0.2857142857142857;5.0
12;6;8;2148.0;0.27;0.7777777777777778;6.62962962962963;2.2962962962962963;6.0
14;2;4;2440.0;0.13;0.3939393939393939;1.2121212121212122;1.5151515151515151;3.0
15;7;4;375.0;0.1;0.2;0.5;0.4;0.0
16;7;4;253.0;0.08;0.6;0.8;0.6;0.0
17;9;4;438.0;0.27;0.4;0.4;0.0;2.0
19;8;4;1474.0;0.19;0.4642857142857143;0.6428571428571429;0.7142857142857143;3.0
20;1;4;897.0;0.05;0.0;1.1666666666666667;0.3333333333333333;0.0
21;3;8;2262.0;0.06;0.038461538461538464;2.4615384615384617;0.07692307692307693;0.0
22;3;5;1710.0;0.03;0.10526315789473684;4.473684210526316;0.10526315789473684;0.0
23;6;4;7.0;0.0;0.0;0.0;0.0;0.0
24;1;4;397.0;0.21;0.07692307692307693;1.8461538461538463;0.0;1.0
26;7;4;543.0;0.07;0.058823529411764705;1.588235294117647;0.35294117647058826;0.0
27;6;4;105.0;0.25;0.0;2.3333333333333335;0.0;0.0
28;3;4;1630.0;0.01;0.05263157894736842;2.5789473684210527;0.21052631578947367;0.0
29;8;4;446.0;0.14;0.4166666666666667;1.0833333333333333;1.0;1.0
30;3;8;2631.0;0.1;0.16666666666666666;4.1;0.2;2.0
31;6;4;29.0;0.08;0.0;0.0;0.0;0.0
32;6;8;2261.0;0.1;0.6296296296296297;10.185185185185185;0.5925925925925926;5.0
33;8;4;1853.0;0.17;0.4827586206896552;1.1724137931034482;0.3448275862068966;3.0
34;7;4;47.0;0.0;0.0;0.6666666666666666;0.6666666666666666;0.0
36;3;4;2198.0;0.05;0.11538461538461539;1.9230769230769231;0.8846153846153846;1.0
37;2;4;617.0;0.05;0.09090909090909091;1.5454545454545454;0.18181818181818182;0.0
38;7;4;3084.0;0.14;0.5277777777777778;2.9166666666666665;2.0;6.0
39;9;4;2472.0;0.38;0.7575757575757576;0.45454545454545453;0.3333333333333333;13.0
40;9;4;23.0;0.0;0.0;0.0;0.0;0.0
41;8;4;1864.0;0.14;0.3783783783783784;0.5135135135135135;0.972972972972973;4.0
42;8;4;1032.0;0.2;0.46153846153846156;1.3846153846153846;1.6923076923076923;2.0
43;6;4;2948.0;0.03;0.11764705882352941;3.5294117647058822;0.7941176470588235;1.0
44;6;4;10.0;0.0;0.0;0.0;0.0;0.0
45;7;7;2753.0;0.1;0.4;5.371428571428571;0.8;4.0
46;3;4;2070.0;0.01;0.08695652173913043;2.9130434782608696;0.4782608695652174;1.0
47;3;4;1533.0;0.01;0.05555555555555555;2.388888888888889;0.6666666666666666;0.0
49;7;4;1882.0;0.14;0.39285714285714285;2.25;1.1785714285714286;2.0
50;4;4;144.0;0.01;0.3333333333333333;1.3333333333333333;0.6666666666666666;0.0
51;6;7;3155.0;0.09;0.25;4.194444444444445;1.2777777777777777;2.0
52;9;4;1023.0;0.17;0.2;0.5333333333333333;0.3333333333333333;1.0
